"caseid_new","w2_section","w1_partyid7","w1_ppc10017","w1_ppp20071","w1_ppp20072","w1_ppagecat","w1_ppeducat","w1_ppethm","w1_ppRace_1","w1_ppRace_2","w1_ppRace_3","w1_ppRace_4","w1_ppRace_5","w1_ppRace_6","w1_ppgender","w1_pphhhead","w1_pphouse","w1_ppincimp_cat","w1_ppmarit","w1_ppmsacat","w1_PPREG4","w1_pprent","w1_PPT18OV","w1_ppwork","w1_xlgb","w1_partnership_status","w1_prior_identity_lgb","w1_same_sex_couple","w1_same_sex_couple_gender","w1_q4","w1_q5","w1_q6a","w1_q6b","w1_q9","w1_q10","w1_q11","w1_q12","w1_q14","w1_q16","w1_q17","w1_attraction","w1_identity_all","w1_q23","w1_otherdate_all","w1_married","w1_age_when_met","w1_time_from_met_to_rel","w1_subject_race","w1_partner_mother_yrsed","w1_subject_mother_yrsed","w1_partner_yrsed","w1_subject_yrsed","w1_either_internet_adjusted","w1_smart_phone","w1_children_in_hh"
760105,1,5,1,-2,6,3,4,1,1,0,0,0,0,0,1,1,1,4,1,1,4,1,2,1,2,1,0,0,0,2,0,2,1,41,12,9,3,12,10,1,1,1,1,1,1,22,0.75,1,12,16,16,17,0,1,1
765797,1,5,1,-2,4,4,2,1,1,0,0,0,0,0,2,1,1,1,2,1,3,1,1,2,2,1,0,0,0,1,0,1,1,57,9,9,6,10,20,2,1,1,2,1,1,38,2.3333740234375,1,12,13,12,12,0,1,1
769127,0,3,1,1,5,4,4,1,1,0,0,0,0,0,1,1,2,3,3,1,1,2,1,1,2,3,0,0,0,2,0,1,1,45,12,8,4,9,30,1,1,1,1,2,0,22,0.0833740234375,1,12,12,16,16,0,1,0
769207,1,7,1,-2,4,4,4,1,1,0,0,0,0,0,1,1,1,4,1,1,2,1,2,1,2,1,0,0,0,2,0,1,1,46,13,9,5,13,0,1,1,1,1,1,1,26,0.416748046875,1,12,17,17,17,0,1,1
771847,0,7,1,-2,6,5,3,1,1,0,0,0,0,0,2,1,1,4,3,1,4,1,2,1,2,3,0,0,0,1,0,1,1,61,9,9,6,12,0,2,1,1,1,1,0,35,0,1,12,16,12,13,0,1,0
774843,1,7,2,-2,5,2,4,1,1,0,0,0,0,0,2,1,1,4,5,1,2,1,2,1,1,2,1,0,0,1,2,1,1,25,12,13,7,14,0,0,3,4,3,2,0,18,3.083251953125,1,17,20,16,16,0,0,0
775045,1,7,2,1,4,2,3,5,1,1,0,0,0,0,2,1,1,3,6,1,2,1,1,1,2,2,0,0,0,1,0,1,2,26,11,9,5,12,1,0,1,1,2,1,0,12,2.75,2,12,16,14,13,0,0,0
778181,0,6,1,2,2,5,4,1,1,0,0,0,0,0,2,1,1,3,5,1,4,1,1,5,2,3,0,0,0,1,0,1,1,66,12,12,4,4,0,0,1,1,1,1,0,43,0.1666259765625,1,16,7.5,16,16,0,1,0
778327,0,6,1,-2,4,2,4,1,1,0,0,0,0,0,2,1,1,4,5,1,1,1,2,1,2,3,0,0,0,1,0,1,1,31,12,12,5,14,2,0,2,1,4,1,0,19,0,1,16,20,16,16,0,1,0
779707,0,5,1,2,6,1,3,1,1,0,0,0,0,0,2,0,1,4,5,1,2,1,3,1,2,2,0,0,0,1,0,1,4,21,10,8,5,11,3,0,1,1,1,2,0,16,1.166748046875,1,12,14,13,13,1,1,1
782115,0,7,1,1,2,6,4,2,0,1,0,0,0,0,2,1,1,2,1,1,3,2,2,5,2,1,0,0,0,1,0,1,2,72,10,10,7,9,1,1,1,1,1,1,1,22,0.8333740234375,2,13,12,13,16,0,1,0
782789,1,7,1,-2,6,6,3,1,1,0,0,0,0,0,2,1,1,3,1,1,2,1,2,5,2,1,0,0,0,1,0,1,1,68,14,4,7,9,6,1,1,1,3,1,1,16,1,1,7.5,12,20,14,0,1,0
783217,0,1,1,2,3,1,3,1,1,0,0,0,0,0,1,0,3,1,5,1,2,2,5,1,2,3,0,0,0,2,0,1,1,23,10,10,4,9,10,0,1,1,2,2,0,23,0.25,1,13,12,13,14,0,1,0
783399,1,5,1,1,6,3,2,1,1,0,0,0,0,0,2,1,1,3,1,1,2,1,2,1,2,1,0,0,0,1,0,1,1,50,10,0,4,9,8,3,1,1,2,1,1,36,0.0833740234375,1,NA,12,13,12,1,1,0
783679,1,3,1,-2,6,6,4,1,1,0,0,0,0,0,1,1,1,4,1,1,4,1,2,5,2,1,0,0,0,2,0,1,1,76,13,10,4,10,3,2,1,1,2,1,1,46,0.4166259765625,1,13,13,17,16,0,1,0
784141,1,2,1,2,4,6,2,1,1,0,0,0,0,0,1,1,1,3,1,1,2,1,2,2,2,1,0,0,0,2,0,1,1,67,13,9,4,4,0,1,1,1,3,1,1,19,0,1,12,7.5,17,12,0,1,0
